Time,Name,Status,Notes
2026-01-30 13:26:40,Valve 1,IDLE,
2026-01-30 13:26:40,Valve 2,IDLE,
2026-01-30 13:26:40,Valve 3,IDLE,
2026-01-30 13:27:06,Valve 1,Opening,
2026-01-30 13:27:06,Valve 1,OPEN,
2026-01-30 13:27:08,Valve 1,Closing,
2026-01-30 13:27:08,Valve 1,CLOSED,
2026-01-30 13:27:10,Valve 2,Opening,
2026-01-30 13:27:10,Valve 2,OPEN,
2026-01-30 13:27:13,Valve 2,Closing,
2026-01-30 13:27:13,Valve 2,CLOSED,
2026-01-30 13:27:14,Valve 3,Opening,
2026-01-30 13:27:14,Valve 3,OPEN,
2026-01-30 13:27:16,Valve 3,Closing,
2026-01-30 13:27:16,Valve 3,CLOSED,
2026-01-30 13:27:24,Valve 1,Opening,
2026-01-30 13:27:24,Valve 1,OPEN,
2026-01-30 13:27:24,Valve 2,Opening,
2026-01-30 13:27:24,Valve 2,OPEN,
2026-01-30 13:27:24,Valve 3,Opening,
2026-01-30 13:27:24,Valve 3,OPEN,
2026-01-30 13:27:24,Valve 1,Closing,
2026-01-30 13:27:24,Valve 1,CLOSED,
2026-01-30 13:27:24,Valve 2,Closing,
2026-01-30 13:27:24,Valve 2,CLOSED,
2026-01-30 13:27:24,Valve 3,Closing,
2026-01-30 13:27:24,Valve 3,CLOSED,
2026-02-01 14:36:36,Valve 1,IDLE,
2026-02-01 14:36:36,Valve 2,IDLE,
2026-02-01 14:36:36,Valve 3,IDLE,
